record,created_date,unique_key,agency_name,description,street_name,resolution_description,community_board,latitude,longitude
29,38546370,2018-02-25T20:41:28.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 STATEN ISLAND,40.56641772244255,-74.1335822547787
30,38549265,2018-02-25T20:29:36.000,DOT,Department of Transportation,Pothole,LEXINGTON AVENUE,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,11 MANHATTAN,40.78737554225717,-73.94984425013189
31,38545774,2018-02-25T20:27:03.000,DOT,Department of Transportation,Pothole,HARTFORD STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 STATEN ISLAND,40.542810246363324,-74.14438295386164
32,38545874,2018-02-25T20:20:23.000,DOT,Department of Transportation,Pothole,MAIN STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,08 QUEENS,40.7348018712702,-73.8252806641981
33,38546368,2018-02-25T20:07:41.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 BRONX,40.876475974251946,-73.90448632037707
34,38549255,2018-02-25T20:06:46.000,DOT,Department of Transportation,Pothole,ROCKAWAY BOULEVARD,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,13 QUEENS,40.65260380191818,-73.7610005370329
35,38547061,2018-02-25T19:41:26.000,DOT,Department of Transportation,Pothole,133 STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,10 QUEENS,40.68564465982489,-73.81066582609438
36,38548676,2018-02-25T19:39:51.000,DOT,Department of Transportation,Pothole,133 STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,10 QUEENS,40.68558700789664,-73.81065877842673
37,38548585,2018-02-25T19:38:45.000,DOT,Department of Transportation,Pothole,133 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,10 QUEENS,40.68567213120316,-73.81068017083541
38,38547584,2018-02-25T19:29:24.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,17 BROOKLYN,40.64503183981797,-73.91997748813249
39,38547582,2018-02-25T19:27:09.000,DOT,Department of Transportation,Pothole,UNION TURNPIKE,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,06 QUEENS,40.71192897729298,-73.83594189848321
40,38545872,2018-02-25T19:23:30.000,DOT,Department of Transportation,Pothole,MARCY AVENUE,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03 STATEN ISLAND,40.54382242095964,-74.20290350714588
41,38548051,2018-02-25T19:22:21.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,11 BRONX,40.865299535723054,-73.84812351273524
42,38548039,2018-02-25T19:09:23.000,DOT,Department of Transportation,Pothole,60 ROAD,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 QUEENS,40.71611686096206,-73.90322990455472
43,38548166,2018-02-25T19:06:51.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,13 QUEENS,40.656160351546845,-73.76735262738222
44,38545335,2018-02-25T19:03:25.000,DOT,Department of Transportation,Pothole,12 AVENUE,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12 BROOKLYN,40.63775284054013,-73.99286228296612
45,38546951,2018-02-25T18:49:30.000,DOT,Department of Transportation,Pothole,VAN DAM STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 QUEENS,40.73839907464877,-73.93484436823428
46,38546365,2018-02-25T18:40:14.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 BROOKLYN,40.67719988001583,-73.94146205406994
47,38548148,2018-02-25T18:39:15.000,DOT,Department of Transportation,Pothole,39 STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12 BROOKLYN,40.63995891666763,-73.98519081929176
48,38545867,2018-02-25T18:36:17.000,DOT,Department of Transportation,Pothole,SNEDIKER AVENUE,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,05 BROOKLYN,40.66524244891469,-73.89992982945532
49,38548031,2018-02-25T18:35:35.000,DOT,Department of Transportation,Pothole,SNEDIKER AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 BROOKLYN,40.66524244891469,-73.89992982945532
50,38546359,2018-02-25T18:27:50.000,DOT,Department of Transportation,Pothole,HILLEL PLACE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,14 BROOKLYN,40.63217239742417,-73.94859543842932
