record,created_date,unique_key,agency_name,description,street_name,resolution_description,community_board,latitude,longitude
29,38611511,2018-03-05T20:22:32.000,DOT,Department of Transportation,Pothole,EAST   17 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,14 BROOKLYN,40.64551221057018,-73.96331990259071
30,38611522,2018-03-05T20:17:45.000,DOT,Department of Transportation,Pothole,MADISON AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 MANHATTAN,40.76435991623982,-73.97086419793402
31,38616502,2018-03-05T20:10:34.000,DOT,Department of Transportation,Pothole,BRUCKNER BOULEVARD,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,10 BRONX,40.828412048080146,-73.8410242362058
32,38610939,2018-03-05T20:00:43.000,DOT,Department of Transportation,Pothole,MADISON AVENUE,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,05 MANHATTAN,40.752389214683745,-73.9795750373631
33,38618463,2018-03-05T19:55:13.000,DOT,Department of Transportation,Pothole,90 ROAD,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,09 QUEENS,40.68769505787528,-73.85842594350522
34,38614499,2018-03-05T19:54:01.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 BRONX,40.80616260382216,-73.92797986498209
35,38614077,2018-03-05T19:51:25.000,DOT,Department of Transportation,Pothole,44 AVENUE,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,04 QUEENS,40.744592892443876,-73.86907751315543
36,38614087,2018-03-05T19:43:28.000,DOT,Department of Transportation,Pothole,ARLINGTON AVENUE,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,08 BRONX,40.90042937593808,-73.90851777642047
37,38615482,2018-03-05T19:38:32.000,DOT,Department of Transportation,Pothole,60 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 QUEENS,40.72510291474484,-73.9061933015036
38,38614526,2018-03-05T19:37:50.000,DOT,Department of Transportation,Pothole,56 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 QUEENS,40.725268241084564,-73.90698318169424
39,38617383,2018-03-05T19:27:22.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 BRONX,40.8036775351447,-73.92208043035588
40,38616503,2018-03-05T19:26:40.000,DOT,Department of Transportation,Pothole,ARLINGTON AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 BRONX,40.90042937593808,-73.90851777642047
41,38616025,2018-03-05T19:26:03.000,DOT,Department of Transportation,Pothole,59 STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,05 QUEENS,40.72384501572937,-73.90861226085967
42,38617449,2018-03-05T19:24:47.000,DOT,Department of Transportation,Pothole,MASPETH AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 QUEENS,40.72316168299413,-73.90875389848429
43,38618053,2018-03-05T19:24:05.000,DOT,Department of Transportation,Pothole,59 STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,05 QUEENS,40.72374891775611,-73.90857270750693
44,38613519,2018-03-05T19:18:00.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 STATEN ISLAND,40.565915860073304,-74.13081705232698
45,38615523,2018-03-05T19:16:23.000,DOT,Department of Transportation,Pothole,EAST   93 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 MANHATTAN,40.78312693494779,-73.95039992661701
46,38615503,2018-03-05T19:13:19.000,DOT,Department of Transportation,Pothole,RIEDEL AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 STATEN ISLAND,40.56773549204833,-74.1309717869775
47,38615498,2018-03-05T19:12:48.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,09 BRONX,40.81849932392824,-73.86809392734523
48,38614519,2018-03-05T19:12:32.000,DOT,Department of Transportation,Pothole,WATER STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 MANHATTAN,40.70525510300541,-74.00730724777988
49,38613515,2018-03-05T19:10:57.000,DOT,Department of Transportation,Pothole,HITCHCOCK AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 STATEN ISLAND,40.57263721996172,-74.12898723119432
50,38611484,2018-03-05T19:10:17.000,DOT,Department of Transportation,Pothole,EMERIC COURT,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 STATEN ISLAND,40.63697717591714,-74.15006693790075
51,38612114,2018-03-05T19:06:19.000,DOT,Department of Transportation,Pothole,CLOVE ROAD,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02 STATEN ISLAND,40.60243086472153,-74.08257510774726
52,38617450,2018-03-05T19:03:56.000,DOT,Department of Transportation,Pothole,QUEENS PLAZA,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.751124104765736,-73.9405994568162
